F0,F1,F2,F3,F4,F5,F6,T
9,0,9,6,0,0,1,9
6,0,6,6,0,0,1,5
9,0,9,0,0,0,1,2
21,0,0,0,6,0,1,1
3,0,0,15,0,0,1,5
18,0,0,6,6,0,1,10
6,0,6,0,0,0,1,2
3,0,0,0,0,3,1,13
9,0,0,0,0,6,1,5
6,0,0,0,0,0,1,3
6,0,0,3,0,0,1,9
12,0,0,18,0,0,1,5
24,0,0,0,3,0,1,1
12,0,0,0,6,0,1,1
3,0,6,0,0,0,1,3
3,0,0,6,0,0,1,5
12,0,0,6,6,0,1,5
3,0,0,0,0,0,1,2
3,0,0,3,0,0,1,5
2,-1,0,0,0,0,1,1
21,0,0,0,6,6,1,5
6,0,0,6,3,0,1,5
9,0,18,0,0,6,1,10
6,3,0,0,0,0,1,13
6,0,0,0,3,0,1,1
15,0,0,3,3,0,1,5
-18,0,0,0,0,0,1,3
9,0,0,0,0,0,1,3
15,0,0,0,3,0,1,1
24,0,0,0,0,0,1,3
21,9,0,0,0,0,1,5
3,0,0,6,3,0,1,9
45,0,0,6,0,0,1,9
12,0,0,0,6,6,1,5
3,3,0,0,0,0,1,13
3,0,0,0,3,0,1,3
18,0,0,3,0,0,1,9
63,0,18,0,0,0,1,1
21,0,0,0,0,0,1,2
24,0,0,0,0,3,1,13
36,0,18,0,0,0,1,1
36,0,0,0,0,0,1,3
6,0,0,0,6,0,1,3
6,0,0,3,6,0,1,9
63,0,0,0,0,3,1,5
6,0,3,0,0,0,1,3
9,0,0,0,3,0,1,3
21,0,0,9,0,0,1,5
12,0,0,3,0,0,1,5
72,0,0,3,0,0,1,9
15,0,0,0,0,0,1,3
15,0,0,6,0,0,1,9
12,0,0,0,0,0,1,2
15,0,0,0,3,6,1,5
9,63,9,6,3,0,1,3
3,0,0,0,6,0,1,1
-27,0,9,0,-6,0,1,1
3,0,3,0,0,0,1,2
21,0,0,24,0,0,1,5
9,0,9,0,0,6,1,10
3,0,3,3,0,0,1,5
9,0,18,0,0,0,1,1
15,0,0,0,0,3,1,13
12,0,0,0,0,3,1,13
21,0,0,0,0,6,1,13
-2,0,0,0,0,3,1,10
36,0,0,0,0,6,1,5
24,18,0,0,0,0,1,9
3,0,0,18,0,0,1,5
12,0,0,21,0,0,1,5
3,0,18,12,0,0,1,5
27,0,-9,0,0,0,1,1
12,18,0,0,0,0,1,5
6,0,0,0,0,3,1,13
72,0,0,6,0,6,1,5
