F0,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,T
2032,0,0,0,3424,0,3424,3424,2776,0,4480,4480,3704,4480,5048,2808,2584,4032,3792,3120,3056,2416,1504,1272,1296,1072,832,600,336,136,40,8,1,513
2256,0,0,0,1600,0,1600,1600,432,0,1600,1600,1120,1600,1504,704,760,1152,928,736,728,480,216,200,198,128,96,64,18,0,2,2,1,509
304,0,0,0,256,0,256,256,704,0,832,832,976,832,1488,1072,984,1536,1408,1152,1224,1024,680,680,690,480,384,272,114,48,18,2,1,138
240,0,0,0,-32,0,-32,-32,248,0,0,0,8,0,72,72,184,192,144,112,160,176,112,168,200,80,64,40,-8,-8,0,0,1,513
1936,0,0,0,1856,0,1856,1856,888,0,1728,1728,904,1728,1288,424,620,1152,720,528,640,272,112,200,194,80,88,64,-2,16,6,-6,1,138
304,0,0,0,256,0,256,256,816,0,832,832,544,832,1056,640,808,1536,672,416,952,288,248,616,462,0,128,96,-102,32,42,-6,1,509
1360,0,0,0,1952,0,1952,1952,2064,0,2304,2304,2416,2304,3120,1968,1644,2112,2400,2048,1928,1728,1224,920,904,864,696,520,340,168,52,8,1,139
1424,0,0,0,2688,0,2688,2688,2656,0,4544,4544,3920,4544,5712,3440,3248,5376,4928,4032,4008,3392,2056,1960,2110,1632,1200,832,394,96,10,2,1,509
3568,0,0,0,4896,0,4896,4896,4808,0,5504,5504,5544,5504,7016,4264,3364,4416,4720,3984,3712,3152,2000,1432,1358,1168,904,656,382,160,38,2,1,510
400,0,0,0,864,0,864,864,800,0,2176,2176,1552,2176,2384,1296,1544,2496,2048,1632,1736,1184,712,712,690,480,384,272,114,48,18,2,1,138
752,0,0,0,1024,0,1024,1024,1232,0,1472,1472,1392,1472,1904,1168,1128,1536,1568,1312,1304,1184,760,680,706,480,384,272,114,48,18,2,1,509
3408,0,0,0,2944,0,2944,2944,-112,0,1856,1856,192,1856,448,-480,284,768,-32,-160,240,-288,-144,192,120,-64,8,8,-60,8,20,0,1,139
2416,0,0,0,2592,0,2592,2592,1688,0,2304,2304,1960,2304,2408,1256,1032,1344,1360,1136,1096,816,536,368,316,272,240,184,120,72,32,8,1,511
80,0,0,0,320,0,320,320,424,0,960,960,632,960,1272,792,900,1920,1264,944,1272,944,520,848,894,304,312,208,-66,0,22,-6,1,510
4336,0,0,0,4864,0,4864,4864,4416,0,4544,4544,4816,4544,5840,3568,2580,3072,3584,3072,2800,2432,1616,1040,920,864,696,520,340,168,52,8,1,591
1392,0,0,0,2656,0,2656,2656,2840,0,4224,4224,3720,4224,5064,2952,2804,4032,4112,3440,3232,2736,1712,1320,1358,1168,904,656,382,160,38,2,1,509
6320,0,0,0,8160,0,8160,8160,5848,0,7680,7680,6792,7680,8392,4552,3532,4800,5136,4336,3928,3376,2024,1376,1358,1168,904,656,382,160,38,2,1,509
1168,0,0,0,1600,0,1600,1600,896,0,1728,1728,1152,1728,1536,672,616,1152,832,640,648,384,136,168,198,128,96,64,18,0,2,2,1,138
2320,0,0,0,4288,0,4288,4288,3840,0,6336,6336,5296,6336,7472,4304,3992,6528,5952,4864,4768,3840,2240,2016,2122,1632,1200,832,394,96,10,2,1,138
3152,0,0,0,2016,0,2016,2016,1088,0,-256,-256,576,-256,128,256,-240,-1344,-256,-32,-144,800,592,464,490,0,128,96,-102,32,42,-6,1,509
3504,0,0,0,5088,0,5088,5088,4064,0,6528,6528,5456,6528,7568,4304,3984,6336,5888,4832,4728,3872,2296,2040,2126,1632,1200,832,394,96,10,2,1,509
688,0,0,0,864,0,864,864,344,0,1152,1152,824,1152,1144,568,712,960,848,688,728,496,328,288,240,176,144,104,48,24,8,0,1,513
1168,0,0,0,1600,0,1600,1600,1544,0,1728,1728,1496,1728,1880,1016,800,1152,1008,816,816,560,320,264,228,176,144,104,48,24,8,0,1,512
2640,0,0,0,2784,0,2784,2784,1936,0,2304,2304,2480,2304,3056,1904,1564,1728,2272,1984,1864,1792,1352,984,920,864,696,520,340,168,52,8,1,139
2928,0,0,0,4768,0,4768,4768,3672,0,5248,5248,4152,5248,5368,2744,2240,3648,3280,2672,2664,2096,1304,1200,1284,1072,832,600,336,136,40,8,1,511
