F0,F1,F2,F3,F4,F5,F6,F7,F8,T
60,0,0,0,12,0,0,0,1,6
2,8,4,0,12,8,0,0,1,44
30,0,0,0,4,8,0,0,1,19
30,8,4,0,0,0,0,0,1,44
10,0,6,0,0,0,0,0,1,44
28,0,0,0,4,0,0,0,1,15
30,0,0,0,4,0,0,0,1,26
2,0,0,0,8,0,0,8,1,35
11,0,8,0,22,0,0,0,1,6
72,0,0,0,0,0,12,0,1,44
4,0,0,0,2,4,2,4,1,9
-7,0,0,0,0,0,0,0,1,11
6,16,16,0,4,0,4,0,1,30
8,0,0,16,0,0,8,0,1,29
26,0,0,8,6,0,0,0,1,19
60,0,8,0,2,0,0,0,1,31
10,0,12,0,14,0,0,4,1,4
18,0,0,0,0,16,0,8,1,35
2,0,0,4,0,0,0,0,1,36
2,8,4,0,4,8,0,0,1,44
4,0,0,0,0,0,10,0,1,24
36,0,0,0,24,0,0,0,1,9
2,0,0,0,0,0,2,0,1,35
22,0,16,0,0,8,0,0,1,20
6,0,0,0,2,0,0,8,1,35
2,8,4,8,10,0,0,0,1,11
22,0,0,0,6,0,0,0,1,26
2,0,0,0,2,8,4,8,1,35
6,8,0,0,0,0,4,0,1,33
292,0,0,0,84,0,96,0,1,29
20,0,0,0,14,0,6,0,1,28
2,16,0,0,4,0,4,0,1,35
10,0,8,16,2,0,4,8,1,35
26,0,16,0,0,8,8,0,1,29
6,0,0,0,12,0,12,0,1,30
28,8,12,0,2,4,4,0,1,10
6,0,4,8,6,0,4,4,1,9
26,16,0,0,0,0,0,0,1,35
14,0,0,0,14,0,0,0,1,26
60,0,0,0,4,0,0,0,1,6
28,0,0,0,6,8,2,0,1,26
6,0,12,0,2,0,4,4,1,19
20,0,0,0,28,0,4,0,1,8
14,0,0,8,4,0,8,0,1,41
4,0,0,0,0,0,0,4,1,25
28,0,0,0,6,0,2,0,1,26
18,0,0,16,14,0,4,0,1,8
2,8,0,0,6,0,8,0,1,35
30,0,20,0,4,8,0,0,1,44
12,0,0,0,6,4,0,0,1,42
14,16,24,0,0,16,0,0,1,7
50,16,16,0,0,0,0,0,1,35
23,0,20,0,10,0,28,0,1,27
34,0,0,16,0,0,0,0,1,17
46,0,8,0,20,0,0,0,1,35
232,0,96,0,0,0,0,16,1,17
4,0,28,0,0,0,0,0,1,24
48,0,0,0,4,8,0,0,1,28
10,0,0,0,4,0,8,0,1,7
46,0,0,0,20,0,0,0,1,26
336,0,0,0,16,0,40,0,1,35
2,0,8,0,0,0,4,8,1,30
28,0,0,8,10,0,8,0,1,31
14,8,4,8,14,8,0,0,1,11
6,0,0,0,0,0,28,0,1,35
12,0,8,0,6,4,2,0,1,10
20,0,0,0,0,0,14,0,1,23
48,0,0,0,4,0,0,0,1,15
50,0,0,0,4,0,0,0,1,16
2,0,0,0,20,0,28,0,1,35
40,0,0,0,0,0,12,0,1,44
80,0,0,0,0,16,8,0,1,19
26,0,8,0,8,0,0,0,1,35
14,8,4,8,14,0,0,0,1,9
14,0,0,0,8,0,0,8,1,30
10,0,28,0,4,0,0,0,1,44
30,0,4,0,2,0,0,8,1,35
4,0,0,8,14,0,0,0,1,30
4,0,0,0,14,0,2,0,1,29
368,0,0,0,40,0,0,0,1,15
14,0,0,0,8,0,12,0,1,35
52,0,8,0,6,0,12,0,1,1
18,0,16,8,10,8,0,0,1,19
2,0,16,16,0,0,0,8,1,35
168,0,0,0,16,0,8,0,1,35
4,0,0,8,14,8,0,0,1,30
24,0,56,0,0,0,0,0,1,35
14,16,0,0,14,0,12,0,1,35
10,0,0,0,14,0,0,8,1,35
464,0,0,0,0,0,0,16,1,17
6,8,4,0,0,0,0,0,1,44
14,0,8,8,0,8,4,0,1,29
36,0,0,0,0,0,4,0,1,13
30,16,0,0,22,0,4,0,1,35
31,0,28,0,6,0,28,0,1,30
18,16,0,0,6,0,4,0,1,15
18,16,0,0,0,16,16,8,1,35
2,16,0,0,0,0,0,0,1,35
14,0,8,8,0,0,4,0,1,18
58,0,0,0,20,0,8,0,1,7
12,0,0,0,0,0,0,8,1,28
44,0,8,0,12,0,0,0,1,27
14,8,0,0,0,0,0,0,1,29
48,0,0,0,104,0,0,0,1,26
44,0,0,0,12,0,0,0,1,26
10,0,8,0,0,8,4,0,1,26
3,0,0,0,0,0,0,0,1,15
20,0,0,8,2,0,0,0,1,26
26,0,0,16,0,0,0,0,1,17
54,0,0,0,20,0,0,0,1,26
10,0,8,8,0,0,0,0,1,41
6,16,16,8,2,0,0,0,1,29
14,0,0,0,0,0,6,4,1,35
2,0,0,16,0,0,0,8,1,35
22,8,12,0,6,0,12,8,1,17
22,0,0,0,10,8,0,0,1,8
22,0,0,0,0,8,8,0,1,20
14,0,0,0,0,0,16,8,1,30
2,8,0,8,2,0,0,0,1,35
16,0,0,0,0,0,16,0,1,11
42,0,24,0,12,0,0,0,1,28
22,0,28,0,4,8,0,0,1,44
80,0,0,0,0,0,0,16,1,17
56,0,0,0,0,0,12,0,1,44
48,0,0,0,88,32,0,0,1,35
48,0,0,0,56,0,0,0,1,26
2,0,0,0,10,0,14,0,1,38
22,8,4,0,12,0,0,0,1,44
22,0,0,0,10,0,0,0,1,26
22,0,0,0,0,0,8,0,1,26
54,0,0,0,8,0,0,0,1,15
22,0,28,0,4,0,0,0,1,44
30,8,4,0,14,0,0,8,1,2
10,0,0,8,2,8,0,0,1,19
26,0,0,0,12,0,24,0,1,1
62,0,0,0,0,0,0,0,1,8
8,0,0,0,0,0,10,0,1,44
432,0,0,0,88,32,0,0,1,35
14,0,16,0,12,0,24,0,1,6
88,0,0,0,24,16,0,0,1,35
10,0,0,8,2,0,0,0,1,35
18,0,0,0,18,0,0,0,1,17
18,0,12,0,0,0,0,0,1,44
14,0,4,0,6,0,0,0,1,31
6,0,0,0,12,0,0,0,1,26
6,8,0,0,10,0,0,0,1,35
2,8,8,8,0,0,0,0,1,29
2,0,0,8,0,0,8,0,1,41
10,0,0,0,2,0,4,0,1,35
10,0,12,0,6,0,0,0,1,35
36,0,16,0,0,0,0,0,1,18
12,0,40,0,0,0,0,0,1,38
42,16,0,0,0,0,0,0,1,35
2,0,0,0,12,0,8,0,1,7
12,0,20,0,0,0,0,0,1,44
6,0,0,0,12,8,0,0,1,19
6,0,8,0,8,0,0,0,1,27
6,0,4,0,12,8,0,0,1,44
4,0,0,0,10,0,6,0,1,29
6,0,0,0,4,0,4,0,1,30
4,0,0,8,10,0,4,0,1,31
52,16,0,0,6,0,0,0,1,7
2,8,4,0,6,0,12,0,1,4
42,0,16,0,0,0,8,0,1,17
58,0,24,0,0,0,0,0,1,35
84,0,0,0,8,0,0,0,1,17
44,0,0,0,28,0,0,0,1,26
44,0,0,0,12,0,0,16,1,8
16,0,16,0,0,0,2,2,1,16
26,0,0,16,0,0,8,8,1,35
52,0,0,0,0,0,0,0,1,15
6,0,12,0,14,0,0,4,1,18
2,0,8,0,2,0,0,4,1,41
36,0,24,16,6,0,4,0,1,2
42,0,0,0,12,0,0,0,1,16
52,0,0,0,20,0,0,0,1,8
36,0,0,0,4,0,0,0,1,9
14,0,0,8,10,0,8,0,1,29
6,0,0,16,0,0,0,0,1,26
120,0,0,0,28,0,4,0,1,35
30,0,0,0,10,8,0,0,1,6
16,0,0,0,0,0,0,16,1,11
20,0,0,0,6,8,0,0,1,27
30,8,4,0,12,0,0,0,1,44
30,0,4,0,10,0,0,0,1,35
28,0,0,0,10,0,0,0,1,8
30,0,0,0,10,0,0,0,1,26
42,0,0,0,0,0,8,0,1,17
3,0,4,0,6,0,28,0,1,35
4,0,0,0,0,0,2,0,1,24
25,0,44,0,6,0,108,0,1,29
20,0,0,0,6,0,0,0,1,16
56,0,0,0,0,8,12,0,1,23
10,0,0,0,24,0,0,0,1,8
6,0,12,0,0,0,0,0,1,44
10,0,8,0,4,0,0,0,1,28
12,0,12,0,0,0,0,0,1,44
104,0,80,0,0,0,8,0,1,28
