F0,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,T
10,0,0,0,0,0,0,0,0,0,1,5
85,0,0,0,0,0,0,0,0,-20,1,28
10,0,0,15,0,0,0,0,0,0,1,28
5,0,0,0,0,-20,0,-5,0,0,1,28
25,50,100,0,0,10,10,0,0,0,1,17
5,0,0,0,0,-20,0,0,-10,0,1,17
5,0,0,0,0,-10,-15,0,0,0,1,10
25,0,50,0,0,10,0,0,0,0,1,18
5,0,0,0,0,0,-10,0,0,0,1,4
7,20,5,15,5,15,15,10,10,20,1,4
25,50,75,0,0,10,10,0,0,0,1,18
10,0,0,0,0,0,-20,0,0,0,1,4
3,-1,1,0,0,0,0,0,0,0,1,1
30,0,0,0,0,-10,0,0,0,0,1,10
5,0,0,10,0,0,0,0,0,0,1,28
25,0,75,0,100,10,0,15,0,0,1,9
2,0,0,0,5,10,10,0,15,0,1,5
10,0,10,0,0,0,0,0,0,0,1,4
110,0,0,0,0,0,0,0,0,0,1,5
25,0,0,100,0,10,50,0,20,0,1,18
85,0,0,0,0,-15,0,0,0,0,1,17
5,0,0,0,0,-20,-20,0,0,0,1,17
30,0,0,0,0,0,0,0,-5,0,1,1
35,0,0,0,0,-20,0,0,0,0,1,17
5,0,0,0,0,0,0,0,-15,0,1,5
110,0,0,0,0,-15,0,0,-10,0,1,6
110,0,0,0,0,-20,0,0,-10,0,1,6
10,0,0,0,5,-15,0,0,0,0,1,6
105,0,0,0,0,0,0,0,0,0,1,4
110,0,0,0,0,-15,0,0,0,0,1,17
1900,0,0,0,50,10,0,0,25,10,1,6
10,0,0,0,0,-20,-15,0,0,0,1,17
5,0,0,0,0,-10,0,0,0,0,1,10
25,0,0,0,75,10,0,0,0,0,1,18
10,0,0,0,0,-15,0,0,0,0,1,17
5,0,0,0,0,-10,-5,0,0,0,1,17
25,0,0,100,0,10,25,0,20,0,1,17
10,0,5,0,0,0,0,0,0,0,1,5
5,20,0,0,0,0,0,0,0,0,1,28
-4,2,1,0,0,-2,-2,0,0,0,1,1
5,0,0,0,0,-10,0,-5,0,0,1,28
25,0,0,0,25,10,0,0,25,30,1,6
5,0,20,0,0,0,0,0,0,0,1,4
25,0,50,0,100,10,0,10,0,0,1,9
10,0,0,0,0,-15,0,-10,0,0,1,28
25,0,0,0,275,10,0,0,25,30,1,6
5,0,0,0,0,0,0,0,0,-20,1,28
10,0,0,0,0,-15,0,0,-5,0,1,17
5,0,0,0,0,-20,0,-20,0,0,1,28
60,0,0,0,0,-15,0,0,0,0,1,17
80,0,0,0,0,0,0,0,0,0,1,4
2900,0,0,0,0,210,0,0,0,0,1,17
10,0,0,0,0,-15,0,-15,0,0,1,28
85,0,0,0,0,0,0,0,0,0,1,5
10,0,0,0,10,0,0,0,0,0,1,5
5,0,10,0,0,0,0,0,0,0,1,5
110,0,0,0,0,-20,0,0,0,0,1,17
10,0,0,0,0,-20,0,0,-20,0,1,17
7,-10,5,0,5,-20,15,15,10,0,1,4
7,90,-20,80,5,20,15,70,10,40,1,1
25,0,0,0,0,10,0,0,50,0,1,18
60,0,0,0,0,0,0,0,0,-20,1,28
5,0,0,0,0,0,0,0,-20,0,1,3
5,0,0,0,10,0,0,0,0,0,1,3
5,0,0,0,0,0,-5,0,0,0,1,5
57,75,80,-75,80,35,40,0,10,0,1,5
25,0,0,0,475,10,0,0,25,20,1,6
30,0,0,0,0,0,0,0,0,-10,1,28
5,0,0,0,0,-20,0,-15,0,0,1,28
10,0,0,0,0,0,0,0,0,-20,1,28
25,0,0,0,50,10,0,0,75,10,1,18
10,0,0,0,0,-15,0,-20,0,0,1,28
10,0,0,0,0,-15,0,0,-20,0,1,17
10,0,0,0,0,-15,0,0,-15,0,1,9
5,0,0,0,0,-20,0,-10,0,0,1,28
5,0,0,0,0,0,0,0,0,-10,1,28
55,0,0,0,0,0,0,0,-5,0,1,1
5,0,0,0,0,0,0,0,-5,0,1,1
5,0,15,0,0,0,0,0,0,0,1,5
5,0,0,0,0,-10,-10,0,0,0,1,10
25,100,50,0,0,10,20,0,0,0,1,18
22,0,-20,0,-20,10,20,0,10,0,1,5
5,0,0,0,0,-10,0,0,-10,0,1,17
55,0,0,0,0,-20,0,0,0,0,1,10
25,0,50,0,75,10,0,10,0,0,1,18
25,0,0,0,600,10,0,0,25,20,1,6
30,0,0,0,0,0,0,0,0,-20,1,28
5,10,0,0,0,0,0,0,0,0,1,28
5,0,0,0,15,-20,0,0,0,0,1,6
25,0,0,0,0,10,0,0,75,0,1,18
25,0,0,0,50,10,0,0,100,10,1,10
5,0,0,0,0,-10,-20,0,0,0,1,17
25,0,0,0,525,10,0,0,25,30,1,6
1400,0,0,0,0,160,0,0,0,0,1,17
7,-20,5,0,5,0,15,5,10,0,1,3
60,0,0,0,0,-15,0,0,-10,0,1,6
10,0,0,0,0,-20,0,0,-15,0,1,9
55,0,0,0,0,0,0,0,0,-10,1,28
5,0,0,0,0,0,0,0,0,0,1,4
2775,0,0,0,0,60,0,0,0,0,1,17
5,0,0,0,15,0,0,0,0,0,1,2
10,0,0,0,5,0,0,0,0,0,1,2
35,0,0,0,0,0,0,0,0,-15,1,28
25,0,0,50,0,10,100,0,10,0,1,17
