F0,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,T
30,0,0,0,0,-20,0,0,0,0,1,10
10,15,0,0,0,0,0,0,0,0,1,28
10,0,0,0,0,-15,-20,0,0,0,1,10
105,0,0,0,0,-10,0,0,0,0,1,10
55,0,0,0,0,-20,0,0,-5,0,1,6
2150,0,0,0,0,60,0,0,0,0,1,17
80,0,0,0,0,-10,0,0,0,0,1,10
35,0,0,0,0,0,0,0,-10,0,1,1
5,0,0,0,0,-10,0,-20,0,0,1,28
5,0,0,0,20,0,0,0,0,0,1,5
10,0,0,0,0,-20,0,-5,0,0,1,28
25,0,0,0,350,10,0,0,25,20,1,6
85,0,0,0,0,-20,0,0,0,0,1,17
60,0,0,0,0,-20,0,0,-10,0,1,6
12,0,10,0,5,10,20,0,5,0,1,5
55,0,0,0,0,-10,0,0,-5,0,1,6
55,0,0,0,0,0,0,0,0,-20,1,28
10,0,0,0,0,-15,-10,0,0,0,1,17
10,0,0,0,5,-20,0,0,0,0,1,6
25,75,75,0,0,10,15,0,0,0,1,18
10,0,0,0,0,-15,0,-5,0,0,1,28
7,90,5,80,5,95,15,70,10,40,1,1
25,0,0,0,100,10,0,0,25,20,1,6
10,0,0,0,0,-20,0,0,0,0,1,17
57,75,80,-75,80,110,40,0,10,0,1,5
5,0,0,0,0,-10,0,-15,0,0,1,28
12,0,-20,0,-20,10,0,0,10,0,1,5
80,0,0,0,0,0,0,0,0,-10,1,28
10,0,0,0,0,-20,0,-10,0,0,1,28
5,0,0,0,0,-10,0,-10,0,0,1,28
5,0,5,0,0,0,0,0,0,0,1,4
105,0,0,0,0,-20,0,0,0,0,1,10
85,0,0,0,0,-15,0,0,-10,0,1,6
10,0,0,0,0,0,0,0,-15,0,1,3
60,0,0,0,0,-20,0,0,0,0,1,17
10,0,0,0,0,-20,0,-15,0,0,1,28
7,90,-20,-45,5,45,15,70,10,40,1,1
10,0,0,0,0,0,0,-20,0,0,1,28
25,75,100,0,0,10,15,0,0,0,1,17
25,0,0,25,0,10,25,0,5,0,1,17
5,0,0,20,0,0,0,0,0,0,1,28
1275,0,0,0,50,10,0,0,25,10,1,6
110,0,0,0,0,0,0,0,-10,0,1,1
5,0,0,0,0,-20,0,0,-15,0,1,17
7,90,-20,-45,5,120,15,70,10,40,1,1
10,0,0,0,0,-20,-5,0,0,0,1,10
10,0,0,0,0,0,0,-15,0,0,1,28
80,0,0,0,0,-20,0,0,-5,0,1,6
57,75,80,-75,80,85,40,0,10,0,1,5
110,0,0,0,0,0,0,0,0,-15,1,28
5,0,0,0,0,0,0,0,-10,0,1,5
10,0,0,0,0,-20,0,-20,0,0,1,28
80,0,0,0,0,0,0,0,0,-20,1,28
25,0,0,25,0,10,50,0,5,0,1,18
80,0,0,0,0,0,0,0,-5,0,1,1
10,0,0,0,0,-15,-5,0,0,0,1,10
85,0,0,0,0,-20,0,0,-10,0,1,6
80,0,0,0,0,-10,0,0,-5,0,1,6
25,0,0,0,225,10,0,0,25,20,1,6
25,0,0,50,0,10,75,0,10,0,1,18
10,0,0,0,0,-15,0,0,-10,0,1,6
35,0,0,0,0,-15,0,0,0,0,1,17
5,0,0,0,0,0,0,-20,0,0,1,28
25,0,0,0,25,10,0,0,50,5,1,18
30,0,0,0,0,-20,0,0,-5,0,1,6
25,0,0,0,75,10,0,0,75,15,1,18
10,0,0,0,0,0,-5,0,0,0,1,4
105,0,0,0,0,0,0,0,0,-20,1,28
7,5,5,10,5,5,15,15,10,5,1,4
5,0,0,0,0,-10,0,0,-5,0,1,6
25,0,75,0,75,10,0,15,0,0,1,18
85,0,0,0,0,0,0,0,0,-15,1,28
5,0,0,0,15,-10,0,0,0,0,1,6
2025,0,0,0,0,160,0,0,0,0,1,17
35,0,0,0,0,0,0,0,0,-20,1,28
30,0,0,0,0,-10,0,0,-5,0,1,6
5,0,0,0,0,-10,0,0,-20,0,1,9
25,0,25,0,25,10,0,5,0,0,1,10
10,0,0,0,0,0,-10,0,0,0,1,5
10,0,0,0,0,-15,-15,0,0,0,1,17
400,0,0,0,0,210,0,0,0,0,1,17
85,0,0,0,0,0,0,0,-10,0,1,1
32,10,30,20,105,0,115,5,35,10,1,2
5,0,0,0,0,-20,0,0,-5,0,1,6
2,0,-20,0,-20,10,5,0,10,0,1,5
5,0,0,0,0,-20,0,0,0,0,1,10
5,0,0,0,0,-20,-15,0,0,0,1,10
105,0,0,0,0,-20,0,0,-5,0,1,6
1900,0,0,0,0,10,0,0,0,0,1,17
25,25,50,0,0,10,5,0,0,0,1,18
25,0,0,0,75,10,0,0,100,15,1,10
7,-5,5,0,5,-5,15,20,10,0,1,3
7,90,-20,-45,5,70,15,70,10,40,1,1
10,0,0,0,0,-20,0,0,-10,0,1,6
25,0,100,0,25,10,0,20,0,0,1,10
57,75,80,-75,80,10,40,0,10,0,1,5
5,0,0,0,0,0,-15,0,0,0,1,4
5,0,0,0,0,0,0,-10,0,0,1,28
105,0,0,0,0,0,0,0,-5,0,1,1
10,0,0,20,0,0,0,0,0,0,1,28
1150,0,0,0,0,110,0,0,0,0,1,17
10,0,0,0,0,-20,-20,0,0,0,1,10
80,0,0,0,0,-20,0,0,0,0,1,10
10,0,0,0,0,0,0,0,-5,0,1,5
10,0,0,0,0,0,0,0,-20,0,1,5
17,0,-20,0,-20,10,10,0,10,0,1,5
1275,0,0,0,0,10,0,0,0,0,1,17
7,-15,5,0,5,-10,15,10,10,0,1,4
35,0,0,0,0,-15,0,0,-10,0,1,6
10,0,0,0,0,-20,-10,0,0,0,1,17
5,0,0,0,0,-10,0,0,-15,0,1,17
105,0,0,0,0,-10,0,0,-5,0,1,6
25,0,0,0,100,10,0,0,50,20,1,18
25,0,0,0,0,10,50,0,0,0,1,18
6250,0,0,0,250,0,0,0,20,0,1,1
25,0,0,0,400,10,0,0,25,30,1,6
60,0,0,0,0,0,0,0,0,-15,1,28
5,0,0,0,0,-20,0,0,-20,0,1,9
25,0,25,0,50,10,0,5,0,0,1,18
25,0,0,0,50,10,0,0,0,0,1,18
60,0,0,0,0,0,0,0,-10,0,1,1
25,25,25,0,0,10,5,0,0,0,1,17
10,20,0,0,0,0,0,0,0,0,1,28
25,0,100,0,50,10,0,20,0,0,1,18
10,0,0,0,0,0,0,0,0,-15,1,28
60,0,0,0,0,0,0,0,0,0,1,5
25,0,0,0,0,10,75,0,0,0,1,18
57,75,80,-75,80,60,40,0,10,0,1,5
55,0,0,0,0,-10,0,0,0,0,1,10
10,0,15,0,0,0,0,0,0,0,1,4
35,0,0,0,0,-20,0,0,-10,0,1,6
55,0,0,0,0,0,0,0,0,0,1,4
10,0,0,0,0,0,0,0,-10,0,1,1
10,0,0,0,20,0,0,0,0,0,1,3
25,0,0,75,0,10,100,0,15,0,1,17
25,0,0,75,0,10,75,0,15,0,1,18
10,0,0,0,0,0,-15,0,0,0,1,5
5,0,0,0,0,0,-20,0,0,0,1,5
30,0,0,0,0,0,0,0,0,0,1,4
35,0,0,0,0,0,0,0,0,0,1,5
5,0,0,0,5,0,0,0,0,0,1,5
22,0,20,0,5,10,5,0,20,0,1,5
1775,0,0,0,0,110,0,0,0,0,1,17
17,0,15,0,5,10,0,0,0,0,1,5
105,0,0,0,0,0,0,0,0,-10,1,28
110,0,0,0,0,0,0,0,0,-20,1,28
25,0,75,0,0,10,0,0,0,0,1,18
25,0,0,0,150,10,0,0,25,30,1,6
10,0,0,0,0,-20,0,0,-5,0,1,17
25,100,25,0,0,10,20,0,0,0,1,17
5,0,0,0,0,-20,-5,0,0,0,1,17
10,0,20,0,0,0,0,0,0,0,1,5
10,0,0,0,15,0,0,0,0,0,1,5
5,0,0,0,0,-20,-10,0,0,0,1,10
