F0,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,T
-6,-9,9,9,-9,0,6,0,-9,-3,9,9,1,167
36,0,0,-27,27,0,-9,-27,-36,-6,-9,36,1,130
12,0,0,-6,-9,9,9,-9,9,3,-6,-6,1,167
-3,0,0,-3,0,0,0,3,0,0,0,-3,1,212
-9,0,0,-9,-9,0,3,-9,9,9,3,0,1,119
3,9,-9,0,0,9,12,-9,-9,9,9,12,1,212
9,0,0,-9,9,0,-9,9,9,-12,12,12,1,171
-12,-9,9,12,0,-9,3,0,-9,3,-9,-9,1,120
3,9,9,-6,0,9,-3,-9,0,-6,0,-9,1,167
12,0,-9,12,0,0,0,9,0,-6,12,12,1,167
-3,9,0,12,9,9,-12,-9,9,3,0,-9,1,38
-9,0,0,-9,-9,9,3,0,-9,12,6,-12,1,131
-3,0,0,3,0,0,3,-3,-3,-3,-3,-3,1,84
9,9,0,0,9,0,-12,12,-12,6,-6,-9,1,34
12,9,0,-3,9,-9,-12,0,0,6,12,0,1,167
-3,-9,-9,-12,9,0,-6,-9,-9,-6,3,-3,1,36
-12,-9,0,9,9,-9,-6,9,-9,-12,-12,-6,1,167
-81,0,0,0,-81,-54,108,-27,90,-93,81,48,1,173
18,27,0,27,27,-27,-33,-36,18,-27,-12,0,1,1
-18,0,27,-9,27,-18,-33,-27,36,21,27,24,1,174
810,-486,648,-270,0,-81,-1008,-459,-117,-834,-513,105,1,19
-12,-9,9,-3,-9,9,6,0,-9,9,9,0,1,13
3,9,-9,0,0,9,9,9,0,-6,-9,-12,1,212
12,9,0,0,-9,9,0,9,9,-9,0,0,1,116
-99,54,81,-63,81,81,-21,-9,54,15,9,-81,1,71
-6,9,0,0,-9,9,9,-9,-12,-9,3,12,1,167
-3,0,0,0,0,0,0,0,-3,0,3,0,1,38
6,-9,0,-9,0,-9,6,0,0,-3,-9,0,1,169
-9,0,0,9,0,9,-12,9,9,-12,3,12,1,73
3,9,-9,-3,0,9,9,0,9,3,0,0,1,167
-6,0,-9,6,9,-9,-9,0,0,-9,9,0,1,116
-3,0,0,-3,0,0,-3,-3,3,-3,-3,-3,1,212
-3,0,0,3,0,0,3,3,3,3,0,-3,1,212
3,9,0,9,0,0,-3,9,9,12,9,9,1,167
3,0,0,0,0,0,3,-3,3,-3,-3,0,1,212
12,9,-9,-3,-9,0,-9,0,-9,3,12,-9,1,167
-18,-27,27,36,27,-27,-12,-36,9,30,36,-9,1,130
3,0,0,-3,0,0,3,0,3,0,3,0,1,118
-6,-9,9,-3,-9,-9,-3,9,-9,-12,9,9,1,42
-9,0,0,9,9,9,-6,9,0,0,-6,-3,1,19
3,9,0,-3,-9,9,6,9,0,12,6,12,1,169
-36,27,-27,0,-36,9,24,9,-18,-6,12,33,1,131
12,-9,0,9,9,0,9,0,0,12,12,-3,1,121
12,0,0,-9,-9,-9,12,-9,0,6,-6,3,1,121
-9,0,0,0,-9,0,-12,9,-9,-3,-6,0,1,131
12,9,0,12,0,-9,-3,-9,9,6,6,3,1,36
9,0,9,0,0,9,0,-9,0,0,-3,-12,1,16
3,0,0,3,0,0,0,-3,3,3,-3,0,1,212
12,0,-9,-6,-9,-9,-9,-9,9,0,0,9,1,167
-36,-27,0,0,27,18,-3,-36,9,-39,21,21,1,1
-12,-9,0,-12,9,-9,6,-9,9,-12,-12,9,1,167
162,0,0,351,81,-81,45,135,243,51,-144,27,1,170
-6,9,9,-12,-9,-9,-9,-9,9,-12,3,3,1,167
-12,-9,-9,-9,-9,-9,9,-9,-9,0,9,-9,1,169
3,0,-3,0,0,0,3,0,-3,3,0,3,1,35
3,0,0,0,0,0,0,0,3,0,0,0,1,12
-72,-108,-81,45,-108,54,-15,9,-81,-114,117,99,1,3
9,-27,27,18,27,-27,-3,-36,36,-3,36,18,1,16
-18,27,27,-9,27,27,-39,9,9,33,27,18,1,130
-3,9,9,12,9,9,-9,9,0,3,9,12,1,212
18,27,27,27,27,36,21,-27,18,-36,-15,-39,1,72
9,0,-27,-18,0,27,-18,36,9,-30,-9,-27,1,130
3,0,9,-9,9,0,-9,0,-9,3,9,6,1,212
12,0,0,-3,-9,0,-9,0,0,0,0,9,1,167
3,0,3,0,0,0,0,0,0,0,0,0,1,36
36,27,-27,0,0,0,24,-18,18,0,27,-18,1,70
-324,0,-81,-54,-324,-216,207,324,270,357,-36,93,1,1
36,27,0,36,-27,18,-21,-18,0,39,27,-21,1,174
3,0,0,0,0,0,0,0,0,0,0,0,1,15
3,0,0,-3,3,0,3,-3,0,3,3,3,1,167
