F0,F1,F2,F3,F4,F5,F6,F7,F8,F9,T
42,0,0,0,0,18,21,18,0,1,17
6,0,0,0,0,0,0,18,9,1,24
6,0,9,12,0,0,24,0,0,1,20
3,0,0,0,0,0,12,0,9,1,24
3,0,27,0,0,0,0,0,0,1,10
3,0,9,12,0,0,0,0,0,1,24
3,0,54,0,0,0,0,0,18,1,20
6,0,18,12,0,0,0,0,0,1,24
3,0,9,12,0,0,3,0,0,1,24
12,0,0,0,0,0,3,0,3,1,7
3,0,9,24,0,0,24,0,0,1,20
3,0,0,0,0,0,6,0,3,1,11
60,0,54,0,0,0,9,0,9,1,20
66,0,0,0,0,9,3,0,0,1,20
6,0,0,0,9,0,6,0,0,1,24
54,0,0,18,9,0,0,0,0,1,22
3,0,27,45,0,0,0,0,0,1,21
3,0,0,0,0,0,3,0,3,1,7
66,0,0,0,0,0,0,9,0,1,21
3,0,0,0,0,0,0,0,3,1,9
15,0,0,0,9,0,0,0,0,1,18
3,9,0,21,0,0,0,0,0,1,10
6,0,0,0,9,0,3,0,0,1,22
6,0,0,0,9,0,0,0,0,1,18
15,0,0,0,0,0,0,0,18,1,24
15,0,0,0,0,0,18,0,18,1,24
27,0,0,36,0,18,6,0,0,1,7
6,54,0,63,0,0,0,0,9,1,20
6,0,0,9,0,0,9,0,0,1,21
12,18,18,18,0,0,3,0,0,1,20
3,0,0,15,0,0,12,0,0,1,24
3,18,18,0,0,0,3,0,0,1,20
12,0,18,0,9,0,6,0,0,1,4
54,0,0,72,0,18,0,0,0,1,17
6,0,0,9,0,0,3,0,0,1,22
30,0,0,0,0,0,18,0,18,1,20
6,0,0,9,0,0,0,0,0,1,21
3,0,0,21,0,0,24,0,0,1,21
6,27,0,45,0,0,0,0,0,1,21
6,0,0,0,0,0,0,18,18,1,24
15,9,0,9,0,0,3,0,0,1,17
51,0,0,0,0,18,3,9,0,1,1
12,0,0,3,0,0,18,0,0,1,21
3,54,0,0,0,0,0,9,9,1,21
6,0,0,0,9,0,24,0,0,1,24
3,0,0,9,0,0,0,9,0,1,21
3,27,0,63,0,0,0,0,18,1,20
6,0,18,24,0,9,0,0,0,1,20
6,0,0,0,9,0,21,0,0,1,22
24,0,9,21,18,0,6,0,0,1,20
66,0,0,0,0,9,21,0,0,1,20
21,0,0,18,0,18,6,0,0,1,17
3,27,0,0,0,0,0,18,9,1,24
3,0,0,18,0,0,0,0,18,1,20
6,0,0,0,9,0,15,0,0,1,24
3,9,18,6,0,0,0,0,0,1,10
33,0,0,0,0,0,0,18,9,1,24
42,0,0,9,0,0,0,0,18,1,24
15,0,18,15,0,0,0,0,0,1,20
3,0,0,6,0,6,6,0,0,1,20
15,0,0,9,0,18,21,0,18,1,1
6,0,0,0,9,0,12,0,0,1,22
24,0,0,0,0,0,0,9,0,1,21
66,0,0,0,0,0,18,0,9,1,24
15,0,0,6,0,0,0,3,0,1,20
3,0,0,0,0,9,24,0,0,1,22
6,0,9,6,18,0,0,0,0,1,18
15,0,0,6,0,0,3,3,0,1,4
6,0,0,0,9,9,24,9,0,1,24
6,0,0,18,0,0,0,9,0,1,21
3,0,0,6,0,6,3,0,0,1,20
12,0,0,0,0,0,0,18,0,1,24
3,9,0,6,0,0,0,0,0,1,10
6,0,9,0,18,0,3,0,0,1,4
3,0,0,6,0,6,0,0,0,1,20
3,0,0,0,0,9,21,0,0,1,20
12,0,0,18,0,0,0,0,0,1,21
3,0,0,0,0,9,9,0,0,1,18
3,0,0,0,0,9,6,0,0,1,22
30,54,54,0,0,0,0,0,9,1,24
6,18,9,12,0,0,0,0,0,1,24
3,0,0,6,0,9,21,0,0,1,24
3,54,0,0,0,0,0,0,9,1,24
6,0,18,6,0,18,0,0,0,1,20
3,0,0,0,0,9,15,0,0,1,22
6,0,54,0,0,0,0,0,9,1,20
3,0,9,15,18,0,24,0,0,1,20
3,0,9,3,0,0,0,0,0,1,24
3,0,0,0,0,9,3,0,0,1,20
3,0,0,0,0,9,0,0,0,1,18
3,0,0,0,3,0,0,0,0,1,8
15,0,0,0,0,0,0,0,0,1,10
42,0,0,0,0,0,0,18,0,1,24
15,0,0,0,0,0,3,0,0,1,22
3,0,0,0,0,9,12,0,0,1,20
3,0,0,6,0,0,0,6,0,1,18
3,0,0,3,0,18,0,0,0,1,21
6,0,0,0,0,0,6,0,6,1,7
3,0,18,6,0,18,0,0,0,1,18
51,0,0,0,0,18,3,18,0,1,17
12,0,54,0,0,0,0,0,0,1,10
69,0,0,0,0,9,24,0,0,1,20
6,0,0,18,18,0,0,0,0,1,12
15,0,0,0,18,0,0,0,0,1,12
6,0,0,12,18,0,0,0,0,1,21
12,0,0,3,0,0,0,6,6,1,4
3,27,0,9,0,0,0,0,18,1,20
6,0,0,18,0,0,0,0,0,1,21
3,0,18,21,9,0,0,0,0,1,20
6,0,0,18,0,0,3,0,0,1,22
