F0,F1,F2,F3,F4,F5,F6,F7,F8,F9,T
51,0,0,0,0,0,18,0,0,1,3
3,0,0,0,9,9,18,0,0,1,12
3,0,0,0,9,9,0,0,0,1,12
15,0,0,3,0,0,0,0,0,1,21
3,0,0,0,0,0,9,0,9,1,24
3,0,0,0,0,0,6,0,9,1,22
6,0,0,18,9,0,0,0,0,1,18
48,0,0,45,0,0,0,0,18,1,20
3,0,0,0,0,0,3,0,9,1,24
6,0,9,24,0,0,0,0,0,1,18
3,0,0,0,0,0,0,0,9,1,24
27,0,0,0,0,0,6,0,0,1,13
3,0,0,9,0,9,0,0,0,1,18
3,0,0,3,6,0,0,0,0,1,11
3,0,9,6,0,18,0,0,0,1,20
12,54,0,0,0,0,0,0,0,1,21
6,0,0,15,0,0,0,0,0,1,24
39,54,0,0,0,0,0,0,9,1,24
21,0,18,3,0,0,21,0,0,1,12
66,0,0,0,0,18,6,0,0,1,17
6,0,0,3,0,0,6,3,3,1,18
69,0,0,9,0,0,0,0,0,1,21
6,0,18,6,0,9,0,0,0,1,20
3,0,0,18,0,18,12,0,0,1,10
30,0,0,0,0,0,0,0,9,1,24
6,0,0,18,0,18,12,0,0,1,17
6,0,0,3,0,0,0,3,3,1,8
24,0,18,15,0,18,0,0,0,1,20
6,0,18,24,9,0,0,0,0,1,20
42,0,0,0,0,18,21,9,18,1,1
51,27,0,0,0,0,0,0,9,1,20
6,0,27,0,0,0,0,0,9,1,20
6,0,18,0,0,0,0,0,0,1,19
60,0,0,36,0,0,0,0,9,1,20
6,0,0,18,0,18,24,0,0,1,10
3,54,27,0,0,0,0,0,0,1,21
6,0,18,0,0,0,3,0,0,1,13
6,27,0,0,54,0,9,0,0,1,21
3,27,0,0,54,0,0,0,0,1,21
6,0,18,0,0,0,6,0,0,1,8
54,0,0,0,54,0,3,0,0,1,22
6,54,27,0,0,0,0,0,9,1,20
3,0,27,9,0,0,18,0,18,1,20
15,27,0,0,0,0,0,0,0,1,21
6,0,0,0,0,9,6,9,0,1,20
12,0,0,0,0,0,6,0,18,1,22
6,0,0,3,0,3,3,0,0,1,20
6,0,0,3,0,3,0,0,0,1,20
6,0,0,0,0,9,0,9,0,1,18
3,0,0,0,0,0,12,9,0,1,24
6,0,18,6,0,0,24,0,0,1,20
42,0,0,0,0,0,3,0,0,1,22
39,0,0,0,0,18,6,0,0,1,17
3,27,0,9,0,0,0,9,0,1,21
6,0,0,3,0,0,3,0,0,1,21
6,0,0,3,0,0,0,0,0,1,21
48,27,27,0,0,0,0,0,18,1,20
3,27,0,45,0,0,0,0,0,1,21
3,0,18,6,0,0,0,0,0,1,18
21,9,0,18,0,0,6,0,0,1,17
6,18,9,6,0,0,0,0,0,1,24
6,0,0,0,0,0,24,0,9,1,24
33,0,0,0,0,9,15,0,0,1,20
3,0,0,6,0,0,0,0,3,1,10
51,0,0,0,0,0,3,0,0,1,22
6,0,0,18,0,0,15,0,0,1,24
3,27,27,0,0,0,0,0,18,1,20
6,0,0,6,9,0,0,0,0,1,24
6,0,9,0,0,0,6,0,0,1,18
57,0,0,0,0,0,9,0,18,1,20
6,0,0,12,0,0,12,0,0,1,21
3,0,0,36,0,0,18,0,0,1,21
3,0,0,3,0,0,0,9,0,1,21
27,0,0,0,54,0,6,0,0,1,22
6,0,18,24,0,0,0,0,0,1,20
15,18,0,0,0,0,0,0,0,1,16
6,0,9,0,0,0,3,0,0,1,4
27,0,0,18,0,0,0,0,6,1,22
12,27,27,0,0,0,0,0,18,1,20
3,27,54,0,0,0,18,0,18,1,20
3,0,0,9,0,18,21,0,0,1,10
3,0,0,24,0,0,12,0,0,1,24
3,0,0,0,0,18,18,0,0,1,11
3,0,0,12,0,0,12,0,0,1,21
42,0,0,0,0,9,6,0,0,1,20
42,0,0,0,0,0,3,0,18,1,22
6,9,18,24,0,0,0,0,0,1,11
3,0,0,54,0,0,18,0,0,1,10
6,0,0,0,0,0,18,0,9,1,20
3,18,0,3,0,0,0,0,0,1,24
6,0,0,9,0,18,21,0,0,1,1
54,0,0,0,0,18,3,0,0,1,17
6,0,0,6,0,18,15,0,0,1,24
42,0,0,18,0,0,9,18,0,1,24
3,0,0,0,0,3,0,0,0,1,19
3,0,0,0,0,0,6,0,0,1,22
51,0,0,0,0,9,6,0,0,1,20
21,0,18,21,0,0,3,0,0,1,20
3,0,0,0,0,18,21,0,0,1,10
3,0,0,0,0,0,3,0,0,1,24
6,0,0,0,0,18,12,0,0,1,17
3,0,0,45,0,0,0,0,18,1,20
30,0,0,0,0,0,0,9,18,1,21
12,0,0,0,0,0,0,0,18,1,20
3,27,0,36,0,0,0,0,18,1,20
3,0,0,0,0,0,0,0,0,1,10
3,0,18,0,18,0,6,0,0,1,4
3,0,0,0,0,18,24,0,0,1,17
12,0,18,21,0,0,0,0,0,1,20
3,0,0,63,0,0,0,0,18,1,20
6,0,54,0,0,0,0,0,0,1,10
27,0,27,18,0,9,0,0,0,1,4
3,9,18,0,0,0,6,0,0,1,17
60,0,0,0,0,0,0,9,18,1,21
12,0,0,0,0,0,12,0,0,1,24
42,0,0,18,0,0,0,0,9,1,20
33,0,27,0,0,0,0,0,9,1,20
6,0,0,0,0,0,3,6,0,1,19
3,0,0,9,9,0,9,0,0,1,12
3,0,0,27,0,0,0,0,18,1,20
6,0,0,0,0,18,24,0,0,1,10
21,0,9,15,0,9,24,0,0,1,20
3,18,0,21,0,0,0,0,0,1,24
51,54,0,0,0,0,0,0,0,1,21
3,9,9,3,0,0,0,0,0,1,5
60,54,0,0,0,0,0,0,9,1,20
6,0,0,9,0,18,15,0,0,1,10
3,0,0,9,9,0,0,0,0,1,12
3,0,0,0,0,18,15,9,0,1,6
3,0,0,6,3,0,0,0,0,1,15
12,0,0,9,0,0,0,18,0,1,24
12,0,0,18,0,18,15,0,0,1,17
6,18,0,15,0,0,0,0,0,1,24
3,0,0,0,0,18,9,0,0,1,11
6,0,0,0,0,18,12,9,0,1,6
6,0,0,24,0,0,0,0,0,1,24
6,0,0,0,0,0,18,0,18,1,24
27,0,0,72,0,0,0,0,3,1,17
6,0,0,6,0,0,0,0,6,1,10
3,0,0,6,0,18,6,0,0,1,24
3,0,0,0,0,18,6,0,0,1,17
3,18,0,15,0,0,6,0,0,1,8
3,0,0,0,0,18,0,0,0,1,11
15,0,0,9,18,9,0,0,0,1,12
69,0,0,0,0,0,3,0,0,1,22
6,0,0,0,0,9,24,0,0,1,20
3,0,0,18,0,0,0,9,0,1,21
6,0,0,21,18,0,0,0,0,1,21
6,0,0,0,0,9,21,0,0,1,22
69,0,0,0,0,0,9,0,0,1,10
42,27,0,0,0,0,3,0,18,1,22
6,0,0,0,0,9,15,0,0,1,20
66,0,0,0,0,18,24,0,0,1,17
6,0,0,54,0,0,0,0,9,1,20
12,0,18,12,0,0,24,0,0,1,20
57,0,0,0,0,0,0,0,18,1,20
6,0,9,12,9,0,0,0,0,1,20
12,0,0,0,9,0,12,0,0,1,18
3,0,3,0,0,0,0,0,0,1,14
12,0,0,0,9,0,24,0,0,1,13
6,0,0,0,0,9,12,0,0,1,22
6,0,0,3,0,18,0,0,0,1,21
6,0,18,3,18,18,0,0,0,1,24
12,0,0,0,9,0,21,0,0,1,18
6,0,0,72,0,0,0,0,9,1,20
6,0,0,0,0,9,18,0,0,1,18
