F0,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,T
-2,0,0,0,0,0,0,4,-2,4,4,0,1,223
2,0,0,0,2,0,4,0,-2,0,2,0,1,115
-2,0,-4,0,-2,0,8,0,8,0,8,0,1,193
2,0,4,0,2,0,4,4,0,4,-2,4,1,146
-2,4,2,0,-2,0,4,4,4,4,2,0,1,96
2,0,8,0,8,8,-4,0,0,8,0,4,1,250
-14,0,0,0,0,0,0,0,-10,0,0,0,1,86
8,0,-8,0,-8,0,0,16,-10,-4,16,-12,1,55
-15,0,-2,0,19,0,-12,0,-5,0,6,0,1,60
24,0,0,0,4,0,16,0,4,0,-12,0,1,142
-2,0,0,8,6,0,0,0,4,8,8,4,1,223
24,0,-32,0,4,0,8,0,8,0,16,0,1,104
10,0,-12,0,2,0,4,0,10,0,8,0,1,250
-2,0,-4,0,-4,0,-4,0,2,0,4,0,1,221
-6,0,0,8,-6,8,-4,0,-2,8,0,4,1,250
6,0,8,0,-6,0,-4,0,0,0,-2,0,1,250
2,0,4,0,-2,4,0,4,2,0,-2,4,1,23
2,0,8,0,8,8,-4,0,-6,0,4,4,1,108
-6,0,8,0,4,0,-6,0,-4,0,8,0,1,86
2,0,4,0,-6,0,4,0,-6,0,0,0,1,250
-2,0,4,0,0,0,4,4,2,4,4,0,1,112
-6,0,8,0,4,0,4,0,0,0,-6,0,1,186
2,0,4,4,2,4,-2,0,0,4,0,0,1,48
-6,0,0,0,0,0,-6,0,0,0,0,0,1,28
6,8,4,0,-4,8,-4,8,0,4,8,4,1,250
-24,0,-8,0,-12,0,24,0,16,0,4,0,1,143
2,8,-4,0,0,0,8,0,0,-4,-2,4,1,98
-11,0,6,0,-1,0,-52,0,11,0,-18,0,1,105
-6,0,-4,8,-4,8,4,-4,-2,8,4,4,1,109
-44,0,56,0,52,0,-4,0,-28,0,56,0,1,30
-6,0,8,0,8,0,-6,0,-6,0,0,0,1,186
-2,0,4,0,2,4,4,0,2,4,-2,0,1,27
-6,0,8,8,2,0,0,0,0,0,-4,4,1,223
2,0,4,0,2,0,0,4,0,0,-2,4,1,137
-56,0,48,0,4,0,-40,0,-12,0,44,0,1,142
-6,0,0,0,0,0,0,0,-6,0,4,4,1,223
21,0,26,0,3,0,4,0,-9,0,-22,0,1,143
-56,0,-64,0,-44,0,-64,0,-60,0,12,0,1,99
6,0,-4,0,-4,0,-4,0,-4,0,-2,0,1,224
6,0,8,0,8,0,-4,0,-6,0,-4,0,1,54
-6,0,-4,8,8,8,8,4,-6,-4,-4,8,1,112
-2,0,-4,0,0,0,2,0,2,0,8,0,1,186
2,0,-4,0,6,0,4,0,8,0,0,0,1,155
-2,8,8,8,-2,8,8,0,-4,-4,0,-4,1,250
2,0,0,8,6,0,-4,0,0,-4,8,0,1,186
-2,0,0,0,-2,4,0,0,-2,0,2,0,1,48
-40,0,-16,0,-12,0,-8,0,-28,0,28,0,1,142
2,8,-4,0,0,0,0,0,0,-4,-2,4,1,98
-6,0,0,0,-4,0,8,0,2,8,8,4,1,223
-24,0,-16,0,-12,0,0,0,-24,0,24,0,1,143
-6,0,8,0,6,0,2,0,-4,0,8,0,1,250
-6,0,8,0,6,0,4,0,-4,0,8,0,1,150
2,8,4,0,4,8,-4,0,4,4,2,4,1,98
-2,0,4,8,8,8,4,0,2,4,-4,-4,1,186
2,0,-4,0,4,0,4,0,2,0,0,0,1,153
5,0,-14,0,-5,0,12,0,-17,0,10,0,1,143
461,0,-286,0,-281,0,-404,0,171,0,18,0,1,159
-4,0,0,0,-4,0,-6,0,2,0,8,0,1,208
2,0,0,0,2,0,0,0,4,0,4,0,1,250
24,-16,-24,0,-20,16,-16,8,-6,20,26,-12,1,55
8,16,8,16,16,8,-8,16,6,-12,-2,4,1,88
2,0,8,0,4,0,4,0,-6,0,6,0,1,224
-3,0,10,0,-13,0,4,0,-1,0,-6,0,1,143
6,0,0,4,2,4,6,4,2,4,6,0,1,139
2,0,0,0,-2,0,4,0,2,0,4,0,1,150
6,0,8,0,-6,0,6,0,-4,0,0,0,1,250
6,0,8,0,8,0,8,0,6,0,0,0,1,185
2,0,8,0,-6,0,-4,0,-6,0,2,0,1,224
-2,0,4,4,4,0,0,4,-2,0,0,0,1,22
-2,4,4,4,-2,0,2,0,2,4,4,4,1,109
6,8,0,0,6,8,4,8,-6,4,8,0,1,250
14,0,8,0,-14,0,-8,0,0,0,12,0,1,250
-86071,0,-122498,0,-64481,0,125508,0,26423,0,-162,0,1,2
40,0,-48,0,-4,0,-40,0,8,0,32,0,1,94
2,0,4,0,4,4,4,0,2,0,-2,0,1,102
14,0,-4,0,-12,0,4,0,16,0,-4,0,1,250
2,8,4,0,4,8,-4,0,6,-4,6,4,1,225
-15,0,14,0,3,0,20,0,-5,0,-10,0,1,89
-14,0,4,0,2,0,-12,0,-14,0,12,0,1,193
-2,0,0,0,0,0,4,0,0,0,0,0,1,12
-2,8,8,0,2,4,-2,0,-2,0,-4,8,1,145
2,0,0,0,-4,0,0,0,6,0,2,0,1,137
-2,0,4,4,0,0,4,0,0,0,2,0,1,206
-6,0,-4,0,-2,0,0,0,6,0,0,0,1,225
-56,0,-32,0,-28,0,-56,0,40,0,-52,0,1,134
8,16,16,16,12,-8,-4,16,0,-4,10,12,1,104
-2,0,8,0,2,0,0,0,8,0,6,0,1,185
-2,0,8,0,-2,0,-6,0,4,0,0,0,1,250
40,0,-64,0,12,0,40,0,-20,0,-20,0,1,143
-2,0,4,0,0,4,4,4,0,4,2,0,1,139
-6,8,-4,0,0,0,8,0,2,-4,6,4,1,221
-2,4,2,0,2,4,-2,0,4,4,-2,0,1,137
-2,0,0,4,0,0,-2,0,2,4,-2,0,1,145
40,0,32,0,-36,0,-56,0,-60,0,24,0,1,105
12,0,0,0,0,0,0,0,0,0,0,0,1,15
-2,0,0,0,-6,0,0,0,-4,0,-4,0,1,250
6,0,8,0,-4,0,8,0,-4,4,-6,4,1,138
2,0,4,0,0,0,4,0,0,0,-4,0,1,186
-2,4,2,0,4,4,2,4,0,4,-2,2,1,103
-2,0,4,0,6,0,8,0,0,0,-6,0,1,224
-6,0,8,8,8,0,4,0,-4,4,4,8,1,86
19,0,-14,0,19,0,4,0,17,0,10,0,1,143
-6,0,-4,0,6,0,-4,4,2,-4,-6,0,1,221
6,8,0,0,2,4,-6,-4,-4,8,-2,0,1,145
24,0,32,0,12,0,8,0,28,0,12,0,1,143
-6,0,0,0,8,8,-4,0,8,4,2,4,1,112
6,0,8,0,8,0,0,0,-2,0,-4,4,1,223
-2,0,-4,0,4,8,4,8,8,-4,8,0,1,186
-2,4,4,0,-2,0,-2,4,2,0,0,4,1,24
-56,0,48,0,-4,0,8,0,8,0,48,0,1,94
6,8,0,8,0,0,-4,-4,-4,4,8,0,1,223
23,0,-14,0,11,0,4,0,-27,0,-22,0,1,143
-6,8,-4,0,2,0,0,-4,-4,4,8,4,1,223
6,0,0,0,-2,0,-4,0,-2,0,-6,0,1,224
6,0,8,0,-4,0,4,0,-6,0,2,0,1,137
2,0,0,0,-2,4,0,4,2,4,-2,4,1,49
2,0,8,8,6,0,8,0,4,8,8,4,1,138
-6,0,0,8,-2,0,8,0,4,8,8,4,1,138
14,0,-12,0,-2,0,12,0,10,0,12,0,1,250
-2,0,8,0,8,0,0,0,-6,0,2,0,1,224
14,0,0,0,0,0,0,0,6,0,0,0,1,185
-6,8,0,0,8,8,4,4,8,4,2,0,1,221
-2,0,0,4,-2,4,4,0,4,0,0,0,1,148
-6,0,8,0,4,0,8,0,0,8,8,4,1,193
2,4,2,4,-2,4,-2,4,-2,4,2,0,1,100
-6,0,8,0,-4,8,4,0,-2,-4,6,4,1,140
14,0,12,0,10,0,-8,0,6,0,4,0,1,221
-10,0,16,0,0,0,-12,0,2,0,0,0,1,152
7,0,8,0,5,0,2,0,-1,0,-2,0,1,208
40,0,0,0,-36,0,48,0,32,0,16,0,1,141
6,0,0,0,0,0,-2,0,0,0,0,0,1,28
-2,8,4,0,-4,0,0,0,-2,0,4,4,1,223
-6,0,0,0,-2,0,-4,0,4,0,-2,0,1,185
-8,0,-16,0,-16,0,-16,0,-6,0,8,0,1,134
-2,0,4,0,-2,0,4,0,-2,0,0,0,1,250
6,0,-4,8,0,8,8,-4,0,8,-4,4,1,136
6,0,4,4,2,0,6,4,4,4,4,4,1,139
-2,0,0,0,-4,8,-4,0,6,8,0,4,1,136
-14,0,4,0,16,0,0,0,-14,0,0,0,1,250
6,8,0,0,-4,0,4,8,8,-4,8,4,1,193
56,0,32,0,-28,0,64,0,52,0,-4,0,1,142
-2,0,8,8,6,8,4,0,0,8,8,4,1,223
-6,0,4,0,0,0,-2,0,6,0,8,0,1,186
6,0,0,0,2,0,8,0,8,0,-2,0,1,185
-12,0,0,0,0,0,-14,0,0,0,0,0,1,19
6,0,-4,0,4,0,-4,0,6,0,8,0,1,152
-2,0,0,0,2,4,0,4,0,0,-2,0,1,102
-2,0,0,4,4,4,4,4,2,0,0,0,1,27
-2,0,0,0,-4,0,6,0,0,0,4,0,1,193
-2,0,4,0,4,4,4,4,2,0,2,0,1,23
-4672,0,-2176,0,6192,0,-7360,0,7956,0,-200,0,1,14
21,0,-22,0,19,0,-28,0,-9,0,26,0,1,143
-6,0,4,4,0,0,2,0,2,0,2,0,1,48
2,0,8,8,2,0,4,0,-6,-4,4,0,1,250
-6,0,4,0,2,0,4,0,-2,0,4,0,1,250
-6,8,-4,0,4,0,8,0,-4,-4,-2,4,1,98
-2,0,0,4,-2,0,-2,0,2,0,4,-2,1,113
-14,0,8,0,6,0,12,0,-6,0,4,0,1,150
2,0,0,0,0,0,-4,0,0,0,8,0,1,53
6,0,0,0,0,0,0,0,6,0,0,0,1,185
-6,0,0,0,8,8,4,0,0,8,0,4,1,250
56,0,0,0,-60,0,-8,0,8,0,-32,0,1,104
2,0,-4,0,6,0,-4,-4,-6,0,-4,4,1,223
-6,0,-4,0,-2,0,4,0,-4,0,-4,0,1,155
25,0,30,0,-29,0,20,0,-29,0,6,0,1,60
-1,0,2,0,3,0,-12,0,5,0,-6,0,1,141
-6,0,8,0,-4,0,4,0,-6,0,-6,0,1,224
-6,0,8,0,2,0,0,0,-2,0,4,0,1,250
24,0,-16,0,-28,32,24,-24,30,8,12,-28,1,142
-2,0,0,0,-2,0,4,0,2,0,2,0,1,114
2,0,8,0,8,0,0,0,-6,0,-4,4,1,223
-21,0,10,0,-29,0,4,0,-7,0,18,0,1,134
10,0,-4,0,-2,0,0,0,-10,0,16,0,1,225
2,0,0,0,4,0,4,0,0,0,4,4,1,250
2,0,8,0,-2,0,6,0,4,0,4,0,1,250
-2,0,4,0,2,0,0,4,0,4,4,4,1,223
8,0,0,0,-12,0,-16,0,-12,0,-12,0,1,99
6,0,0,0,0,8,-4,0,8,8,0,4,1,250
2,8,4,0,4,8,4,0,6,4,2,4,1,221
-2,8,4,0,-4,0,0,0,-2,0,-4,4,1,223
-2,0,0,0,8,0,0,0,-2,4,2,4,1,114
-2,0,0,0,-4,8,-4,0,-4,-4,-2,4,1,112
8,16,8,16,16,0,0,0,10,-8,-14,-4,1,61
-13,0,-30,0,3,0,-28,0,-31,0,-6,0,1,143
-14,0,4,0,-8,0,8,0,12,0,-12,0,1,225
40,0,-16,0,-44,0,24,0,20,0,32,0,1,29
8,16,0,-8,4,-8,-8,16,-6,16,16,10,1,7
-6,0,4,8,4,8,8,4,8,0,8,8,1,138
-10,0,12,0,12,0,12,0,0,0,-12,0,1,250
6,0,8,0,8,0,-4,0,-6,0,4,0,1,54
-6,0,0,8,6,0,0,0,4,8,8,4,1,113
-10,0,-12,0,4,0,-8,0,-8,0,0,0,1,221
64,0,-320,0,-272,0,32,0,444,0,-84,0,1,3
6,0,4,4,6,4,2,4,6,0,2,0,1,147
-6,0,0,0,2,0,2,0,2,0,4,0,1,193
-6,0,8,0,2,0,0,0,2,0,2,0,1,140
-2,0,4,0,4,0,4,4,2,4,2,0,1,225
-2,8,4,0,0,8,4,0,6,4,-6,4,1,225
40,-48,-48,-32,36,64,56,-56,-38,60,12,60,1,89
2,0,4,0,-6,0,-4,0,-2,0,4,0,1,250
-2,0,0,0,8,0,6,0,6,0,4,0,1,186
-6,0,0,4,6,4,6,4,0,4,2,0,1,136
-2,4,4,4,2,0,4,0,4,0,-2,4,1,254
-24,0,0,0,-12,0,16,0,-28,0,12,0,1,99
6,0,4,0,-2,0,8,0,0,0,8,0,1,193
2,8,4,0,-6,8,0,4,2,4,0,8,1,223
14,0,16,0,-2,0,4,0,-4,0,-12,0,1,221
14,0,-12,0,-2,0,12,0,6,0,16,0,1,250
24,0,-8,0,-4,0,-32,0,-4,0,20,0,1,141
-253,0,170,0,15,0,-108,0,189,0,90,0,1,142
-24,0,8,0,12,0,16,0,-8,0,-4,0,1,142
-2,0,-4,0,4,0,-4,0,4,0,8,0,1,186
2,4,4,0,0,0,-2,4,0,4,4,0,1,24
6,0,8,0,8,0,0,0,0,0,8,0,1,86
8,0,0,0,4,0,0,0,4,0,0,0,1,51
-10,0,8,0,10,0,8,0,0,0,16,0,1,185
6,0,8,0,-4,0,-2,0,-4,0,-4,0,1,86
-14,0,16,0,14,0,12,0,-8,0,16,0,1,150
2,0,0,0,0,8,-4,0,0,8,0,4,1,250
-8,0,0,0,4,8,12,16,-4,0,-4,-8,1,55
-2,0,0,0,8,0,-2,0,6,0,4,0,1,186
10,0,0,0,10,0,16,0,14,0,-4,0,1,250
10,0,-8,0,-8,0,8,0,14,0,-12,0,1,186
-8,0,8,0,12,0,-8,0,-8,0,-10,0,1,92
2,0,-4,0,2,8,4,4,-4,-4,-6,-4,1,111
6,8,0,0,-4,8,-4,4,6,8,4,0,1,223
-10,0,4,0,4,0,-4,0,-4,0,8,0,1,186
2,8,4,0,0,0,0,0,8,-4,-2,4,1,98
15,0,-4,0,-9,0,0,0,5,0,-12,0,1,50
56,16,64,-32,28,-48,-16,0,-14,-44,8,24,1,205
6,0,0,8,2,-4,8,0,-4,4,2,4,1,24
7,0,2,0,-5,0,4,0,-11,0,-6,0,1,134
