F0,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,T
2,0,0,0,2,4,0,0,-2,0,-2,0,1,139
6,0,8,0,-4,0,2,0,-4,0,8,0,1,86
-2,0,0,0,0,0,4,0,2,0,8,0,1,152
-6,0,0,8,6,0,8,0,-2,8,8,4,1,185
-2,0,0,8,8,0,8,0,-6,-4,-4,8,1,193
-6,0,4,8,-6,8,-4,4,-4,0,-4,4,1,223
-2,0,0,0,6,0,-6,0,6,0,0,0,1,193
-2,0,0,0,-2,0,4,0,-2,4,0,0,1,250
6,0,8,0,8,0,-4,0,6,0,-4,0,1,151
2,8,4,0,0,0,8,0,8,-4,-2,4,1,98
2,0,0,0,0,0,8,0,8,0,-2,0,1,250
-2,0,8,0,-2,0,-4,0,2,0,2,0,1,140
-6,0,8,0,8,0,8,0,2,0,-2,0,1,111
2,0,8,8,2,0,0,0,2,-4,-2,4,1,96
2,0,6,0,-4,0,8,0,-6,0,8,0,1,224
-2,0,0,0,-2,0,0,0,-2,0,0,0,1,185
2,0,8,0,-4,0,8,0,6,8,0,4,1,136
-2,0,2,0,4,0,-2,0,0,0,4,0,1,224
40,0,-48,0,-4,0,40,0,56,0,-24,0,1,94
6,0,8,8,2,0,0,0,-4,0,-4,4,1,223
2,0,0,0,4,8,-4,0,8,0,-4,4,1,250
-6,0,0,0,0,0,4,0,0,0,0,0,1,11
2,8,4,8,-2,4,-6,8,-4,8,-6,8,1,145
-10,0,8,0,-2,0,16,0,-14,0,-12,0,1,250
2,0,8,0,-2,0,4,0,-4,0,-4,0,1,225
-8,16,-8,16,16,8,-4,-8,-14,-4,8,16,1,25
6,0,8,0,2,0,-4,0,8,0,-2,0,1,250
2,0,0,0,-6,0,4,0,-2,0,-6,0,1,140
-6,8,4,0,0,8,4,0,2,4,2,4,1,221
6,0,-4,0,4,0,-4,0,4,0,2,0,1,224
2,0,0,0,8,8,-4,0,-6,0,4,4,1,109
6,0,8,0,-6,0,0,0,4,0,0,0,1,185
-6,0,8,8,6,0,0,0,-2,8,8,4,1,185
14,0,4,0,2,0,-4,0,-8,0,0,0,1,154
-17,0,-18,0,-5,0,-28,0,29,0,30,0,1,143
6,0,4,0,-4,0,-4,0,-2,0,0,0,1,152
-13,0,-6,0,-13,0,4,0,-15,0,2,0,1,143
-2,4,4,4,-2,0,2,4,4,0,0,0,1,147
-6,4,-2,-4,6,-4,2,4,4,8,-2,0,1,140
14,0,-12,0,12,0,12,0,-4,0,8,0,1,186
14,0,4,0,-12,0,12,0,-2,0,16,0,1,152
56,0,64,0,4,0,-48,0,-28,0,4,0,1,142
2,0,4,0,2,0,4,0,-2,0,0,0,1,193
2,0,4,0,4,0,4,0,-2,4,4,4,1,186
2,8,4,8,-2,4,-6,8,8,4,-4,0,1,225
-4,0,4,0,4,0,6,0,6,0,0,0,1,208
6,0,0,0,-4,0,8,0,0,0,-6,0,1,186
13,0,2,0,-13,0,4,0,-1,0,2,0,1,143
6,0,-4,0,4,0,-4,0,2,0,-4,0,1,221
8,-16,32,-16,-12,-16,-16,16,-30,20,-12,20,1,104
-9,0,2,0,-29,0,4,0,13,0,10,0,1,141
-203,0,-234,0,-393,0,-252,0,51,0,6,0,1,159
-10,0,-12,0,12,0,-12,0,-6,0,12,0,1,221
6,0,-4,0,-4,0,4,0,4,0,-4,0,1,186
-2,8,8,0,6,8,8,8,4,-4,4,4,1,250
6,0,-4,0,-4,0,8,0,4,0,-4,0,1,152
-6,8,4,8,-4,0,8,0,-2,-4,-4,4,1,186
2,0,0,0,-4,0,8,0,6,8,0,4,1,136
7,0,6,0,11,0,-12,0,-11,0,-10,0,1,143
-6,0,-4,8,4,8,4,4,-6,4,-4,-4,1,108
-2,0,8,0,-6,0,4,0,-2,0,-2,0,1,114
6,0,8,8,6,0,8,0,4,8,8,4,1,223
6,8,4,8,-4,0,4,-4,4,4,-2,4,1,146
-2,0,8,0,2,0,-4,0,-2,0,-2,0,1,140
2,0,0,0,2,0,2,0,-2,0,0,0,1,193
-6,0,4,0,0,0,8,0,0,0,6,0,1,224
-6,8,0,0,-6,4,6,8,2,8,8,8,1,108
1,0,6,0,5,0,2,0,-3,0,0,0,1,126
2,0,-4,0,8,0,6,0,-6,0,4,0,1,185
-2,0,8,0,0,0,8,0,-6,0,2,0,1,224
-10,0,16,0,-2,0,-12,0,10,0,-8,0,1,221
-2,0,8,0,8,0,-4,0,2,0,0,0,1,152
-24,0,8,0,28,0,-8,0,16,0,-6,0,1,92
10,0,-8,0,-8,0,12,0,-12,0,4,0,1,155
-8,0,0,16,0,0,16,8,-14,-12,8,14,1,99
-2,0,2,0,2,0,0,0,2,0,0,0,1,140
24,0,-16,0,28,0,-16,0,-12,0,0,0,1,134
-2,0,8,0,8,0,4,0,6,0,-4,0,1,151
-6,0,8,0,8,0,0,0,0,0,-4,4,1,193
10,0,4,0,-12,0,4,0,-2,0,-4,0,1,225
-2,4,2,4,2,0,0,0,0,2,2,0,1,114
6,8,4,0,-4,0,0,0,8,-4,-2,4,1,96
-2,0,4,0,2,0,0,0,2,0,0,0,1,221
-6,0,8,8,-6,8,4,0,6,8,8,4,1,250
-8,0,16,16,-4,8,8,0,16,12,16,4,1,205
-2,0,0,8,-2,0,8,0,8,8,0,4,1,138
12,0,0,0,0,0,10,0,0,0,0,0,1,42
-2,0,0,0,2,4,0,4,2,4,2,0,1,49
-2,8,4,0,-2,0,8,-4,2,-4,-4,0,1,223
-14,0,16,0,2,0,16,0,-14,0,8,0,1,185
-2,0,0,4,2,4,0,4,2,0,0,0,1,100
-2,4,-2,0,0,0,-2,0,-2,4,0,-2,1,68
-2,8,-4,0,4,0,0,0,0,-4,6,4,1,96
6,8,4,0,-2,4,2,8,6,-4,-6,4,1,221
59,0,-24,0,19,0,8,0,49,0,-48,0,1,134
2,0,8,0,-6,0,-4,0,2,0,2,0,1,224
-2,0,0,0,0,0,0,0,0,0,4,4,1,193
10,0,-8,0,14,0,-12,0,-4,0,-4,0,1,225
-2,0,4,4,0,0,-2,0,0,0,2,0,1,147
-2,0,4,4,0,0,-2,0,0,4,2,0,1,138
-6,4,2,0,8,4,0,-4,-2,8,6,0,1,149
-2,0,-4,0,6,0,4,0,-2,0,0,0,1,250
-2,8,4,8,8,0,-4,0,8,4,8,4,1,250
-24,0,-8,0,-28,0,8,0,12,0,0,0,1,143
2,0,4,0,0,0,4,4,-2,4,4,4,1,136
2,0,4,0,-6,-4,6,4,-6,0,-6,0,1,221
10,0,16,0,-6,0,16,0,-4,0,-4,0,1,250
14,0,12,0,12,0,4,0,2,0,-4,0,1,221
6,8,8,0,6,0,4,-4,4,0,4,8,1,138
24,32,8,0,-12,-24,-24,-16,12,16,20,24,1,143
6,0,-4,8,2,0,8,4,-4,0,-6,4,1,137
-2,0,-4,0,2,0,-2,0,2,0,-4,0,1,193
2,0,0,0,0,0,4,0,0,4,2,4,1,113
10,0,-8,0,10,0,-8,0,2,0,16,0,1,185
-2,0,-4,0,4,0,-2,0,6,0,8,0,1,186
-3,0,-30,0,15,0,-28,0,-13,0,-6,0,1,105
6,0,-4,0,6,0,0,0,8,0,0,0,1,193
6,0,0,0,8,0,0,0,2,0,6,0,1,224
-40,0,32,0,36,0,-56,0,24,0,-40,0,1,104
6,0,0,0,6,0,-6,0,-6,0,-4,0,1,193
-6,0,8,0,0,0,-4,0,0,0,-6,0,1,250
2,8,4,0,0,0,8,0,2,-4,6,4,1,221
2,0,0,0,2,0,2,0,4,0,0,0,1,250
6,0,4,0,2,0,6,0,2,0,4,0,1,193
8,0,32,0,-24,0,8,0,26,0,-4,0,1,1
35,0,-54,0,-81,0,52,0,61,0,90,0,1,142
-3,0,0,0,-3,0,2,0,1,0,-2,0,1,159
-2,0,8,0,6,0,-4,0,-2,0,2,0,1,224
-3,0,-2,0,-3,0,-2,0,1,0,4,0,1,159
-2,8,4,0,4,0,0,0,6,0,4,4,1,223
8,0,0,0,12,0,-8,0,12,0,-4,0,1,143
40,0,0,0,12,0,-8,0,44,0,44,0,1,143
-9,0,14,0,-5,0,-12,0,-11,0,14,0,1,143
-10,0,12,0,12,0,16,0,-12,0,12,0,1,152
6,0,0,0,4,0,-4,0,8,0,-2,0,1,186
-6,0,8,0,-2,4,0,0,-6,0,-6,4,1,139
2,0,4,0,8,0,0,0,8,0,0,0,1,153
2,0,-4,0,0,0,6,0,-2,0,8,0,1,186
1,0,-2,0,-3,0,2,0,-3,0,0,0,1,126
6,0,0,8,-2,0,8,0,4,8,0,4,1,223
-2,4,2,0,-2,0,2,4,2,4,2,0,1,140
-2,0,4,0,2,0,0,4,2,0,2,0,1,221
10,0,-12,0,16,0,8,0,8,0,16,0,1,153
6,0,8,0,8,0,0,0,-4,0,4,0,1,193
-10,0,-12,0,-2,0,0,0,-4,0,12,0,1,193
6,0,8,0,8,0,4,0,6,0,4,0,1,151
2,0,-4,0,2,0,8,0,8,0,-2,0,1,224
-2,0,-2,0,4,0,0,4,-2,0,4,2,1,98
8,0,-8,16,-12,-8,12,8,-8,-8,-8,-12,1,87
6,0,0,4,0,0,6,0,6,4,0,4,1,147
14,0,-8,0,8,0,-4,0,-12,0,-12,0,1,154
11,0,2,0,-1,0,-12,0,5,0,2,0,1,51
40,0,-48,0,-12,0,16,0,-40,0,48,0,1,143
-2,0,0,0,4,0,4,0,8,0,-6,0,1,186
9,0,6,0,3,0,-12,0,3,0,-2,0,1,60
-8,0,0,16,-12,8,-8,-12,16,4,8,12,1,14
2,8,-4,0,0,0,0,4,-4,-4,6,-4,1,137
-2,0,0,0,8,0,8,0,0,0,4,4,1,193
-6,0,4,0,0,0,0,0,-4,0,-4,0,1,225
-8,0,-16,0,-4,0,0,0,4,0,12,0,1,104
-4,0,16,0,4,0,-8,0,-12,0,0,0,1,50
10,0,-4,0,14,0,12,0,-4,0,4,0,1,155
-6,0,-2,0,2,0,2,0,-4,0,8,0,1,115
-2,0,0,0,0,0,0,0,4,0,4,0,1,193
2,8,0,0,0,-4,-2,-4,6,4,-2,4,1,136
-2,0,8,0,4,0,4,0,2,0,6,0,1,137
-149,0,-246,0,-65,0,-44,0,133,0,-6,0,1,142
6,8,-4,0,8,8,4,4,-4,4,8,0,1,138
-14,0,-8,0,6,0,12,0,8,0,8,0,1,150
-2,0,4,0,-4,0,4,0,0,0,0,0,1,250
3,0,-14,0,3,0,-12,0,1,0,-6,0,1,134
-6,8,4,8,4,8,0,-4,4,0,8,-4,1,113
8,8,0,0,-4,4,-4,8,-4,8,-6,4,1,205
-6,8,-4,0,0,0,8,0,8,4,2,4,1,97
10,0,8,0,8,0,12,0,-10,0,-8,0,1,153
2,0,0,0,0,0,-6,0,0,0,0,0,1,28
2,0,0,0,6,0,0,0,-4,0,6,0,1,250
-2,0,8,0,4,0,0,0,8,0,-6,0,1,186
2,0,0,4,0,4,-2,4,0,4,4,0,1,52
-2,0,4,0,-2,0,4,0,2,0,4,0,1,250
-8,0,-8,16,-4,-8,-12,-8,-4,-12,12,-8,1,134
24,32,24,-16,-4,16,-8,8,18,16,10,32,1,142
-6,0,8,0,6,0,4,0,8,0,8,0,1,150
-6,0,8,0,0,0,0,0,2,0,-2,0,1,137
8,0,8,0,-12,0,-8,0,12,0,-6,0,1,143
10,0,-4,0,14,0,-12,0,12,0,-12,0,1,155
-8,16,0,0,-12,8,-12,-8,-4,-4,16,-8,1,92
-2,0,2,0,2,0,2,0,0,2,0,0,1,114
2,0,4,0,8,0,0,0,-4,0,-4,0,1,225
2,0,2,0,2,0,0,0,0,0,0,2,1,100
-2,0,8,8,2,0,0,0,8,0,-4,4,1,113
-8,0,-8,0,12,0,12,0,4,0,8,0,1,134
-2,0,0,4,-2,4,2,4,0,4,4,0,1,48
-9,0,-62,0,-57,0,36,0,1,0,-14,0,1,51
6,0,-4,0,4,0,-4,0,-4,0,-6,0,1,224
2,0,-4,8,-4,0,0,8,2,-4,-4,8,1,250
-14,0,4,0,16,0,-8,0,6,0,-4,0,1,186
-2,0,8,8,4,8,0,4,0,0,-6,0,1,221
14,0,8,0,-8,0,-12,0,2,0,-8,0,1,152
6,8,-4,8,6,0,0,0,-4,4,-6,4,1,115
2,0,0,0,0,0,0,0,2,0,4,4,1,223
8,16,8,16,4,16,16,16,-12,12,0,16,1,141
-2,0,8,0,-4,0,0,0,-6,0,-2,0,1,137
6,8,-4,8,2,4,6,4,8,4,2,0,1,145
-2,0,0,0,2,0,8,0,0,0,8,0,1,185
-8,0,-8,0,12,0,0,0,12,0,12,0,1,141
-7,0,-10,0,-13,0,4,0,-13,0,14,0,1,87
-6,0,0,0,0,0,0,0,0,0,-4,4,1,193
-6,0,8,8,-2,8,-4,0,-6,4,2,4,1,95
-6,0,8,8,2,8,-4,0,-2,8,8,4,1,250
2,0,0,0,4,8,4,0,2,8,0,4,1,136
8,0,16,0,-4,0,24,0,24,0,24,0,1,94
14,0,12,0,12,0,-12,0,-14,0,-12,0,1,221
8,0,8,0,12,0,-16,0,-12,0,6,0,1,143
-4,0,0,0,4,0,2,0,-6,0,0,0,1,208
-6,0,8,0,6,0,-4,0,0,0,6,0,1,250
-2,0,4,8,8,0,0,8,-2,4,8,4,1,186
-2,0,8,0,-6,0,-4,0,8,0,-2,0,1,250
-576,0,-1408,0,-720,0,960,0,-1068,0,-152,0,1,51
2,8,8,0,-4,0,4,0,0,-4,-4,0,1,86
-2,0,0,4,0,4,-2,0,-2,4,-2,0,1,145
2,0,8,0,4,8,4,0,0,0,-4,4,1,250
-2,0,-6,0,-2,0,-2,0,6,0,-2,0,1,140
2,0,-6,0,2,0,8,0,0,0,8,0,1,115
6,0,-4,0,4,0,4,0,4,0,6,0,1,224
