F0,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,T
33035904,0,15215552,0,3198240,0,414768,0,36408,0,2100,0,70,0,1,9
27329152,0,10636480,0,1644448,0,147120,0,11576,0,900,0,46,0,1,29
128,896,3136,7424,12896,16544,16560,13184,8280,4136,1612,464,98,14,1,21
128,-768,2368,-3712,5088,-4928,4784,-3136,2392,-1232,636,-232,74,-12,1,21
-8064,12160,10688,6272,41632,40928,16432,17344,19480,10376,2772,360,14,2,1,29
482944,0,513216,0,241056,0,62640,0,9720,0,900,0,46,0,1,29
2822784,0,1676480,0,460704,0,81072,0,10296,0,900,0,46,0,1,29
128,128,1216,2944,2976,6880,3184,5568,1592,1720,372,184,38,2,1,29
128,0,448,256,672,0,688,0,344,0,84,16,14,0,1,29
204928,0,196032,0,85152,0,20272,0,1688,0,84,0,14,0,1,9
16512,83712,174016,189056,126496,70336,37744,13312,2296,400,-28,56,62,-12,1,29
22656,146048,321088,466176,423520,357536,237360,135872,60056,21048,5676,1088,162,14,1,29
105336687,-38414,52783585,13720,11294304,-588,1344168,2,96042,0,4116,0,98,0,1,1
128,896,3136,9984,27360,50208,63600,54272,31800,12552,3420,624,98,14,1,21
149,804,2633,6440,11452,14952,14938,11794,7450,3752,1484,448,98,14,1,1
-384,17664,78272,140288,132768,81408,46000,25920,10040,2928,1140,48,78,0,1,9
11816576,0,7490496,0,2143520,0,351280,0,35000,0,2100,0,70,0,1,29
14016384,0,9400000,0,2700000,0,430000,0,41000,0,2340,0,74,0,1,29
16512,20480,16064,23296,19104,10240,7152,3520,1080,384,116,0,-10,0,1,9
10368,0,-7744,0,-352,0,1584,0,408,0,84,0,14,0,1,9
3570048,0,2493376,0,763872,0,134448,0,14792,0,1012,0,42,0,1,29
10368,35968,38592,4224,-9056,9952,15728,8896,5880,3064,788,232,38,2,1,29
128,128,448,4096,20640,43360,55600,47616,27800,10840,2580,256,14,2,1,21
22656,118272,169792,87680,71136,53056,-1680,15104,-1352,384,844,-328,98,-12,1,29
16512,47872,61760,48256,16736,-4672,-336,1728,1496,208,-260,8,50,-12,1,29
-48512,0,171456,0,-1504,0,7984,0,1400,0,84,0,-10,0,1,29
3892608,0,2477248,0,569440,0,55984,0,2376,0,132,0,18,0,1,29
128,896,3136,7168,12512,17568,19184,15616,9592,4392,1564,448,98,14,1,29
16512,10240,5056,14592,19360,-1536,11120,256,3896,1344,676,176,-10,0,1,29
29824,0,7872,0,-1248,0,-80,0,536,0,36,0,-10,0,1,29
